不可雕也	gsmb
不可读也	gsyb
不可多取	gsqb
不可方思	gsyl
不可沽名学霸王	gsig
不可乎不可	gsts
不可毁也	gsvb
不可及也	gseb
不可救乎	gsft
不可卷也	gsub
不可求思	gsfl
不可胜记	gsey
不可失也	gsrb
不可使知之	gswp
不可数计	gsoy
不可说也	gsyb
不可罔也	gsmb
不可为量数	gsyo
不可为也	gsyb
不可圬也	gsfb
不可陷也	gsbb
不可休息	gswt
不可选也	gstb
不可以长处乐	gsnq
不可以久处约	gsnx
不可以据	gsnr
不可以请	gsny
不可一日无此君	gsgv
不可以茹	gsna
不可以物	gsnt
不可以语上也	gsnb
不可泳思	gsil
不可则止	gsmh
不可执也	gsrb
不可转也	gslb
不肯低头在草莽	ghwa
不肯脱罗衣	ghey
不肯暂回车	ghll
不愧于人	gngw
不乐复何如	gqtv
不露文章世已惊	gfyn
不论军民	gypn
不寐倦长更	gpwg
不谋其政	gyag
不能成方圆	gcdl
不能废人运酒舫	gcyt
不能奋飞	gcdn
不能过也	gcfb
不能十步	gcfh
不能以礼让为国	gcnl
不能用也	gceb
不能正其身	gcgt
不能专对	gcfc
不拟回头望故乡	grlx
不念旧恶	gwhg
不念居安思危	gwnq
不念昔者	gwaf
不宁不令	gpgw
不怕醉	gnsg
不破楼兰终不还	gdsg
不其然乎	gaqt
不遣胡儿匹马还	gkdg
不寝听金钥	gpkq
不求友生	gfdt
不然烦恼万涂侵	gqow
不然则已	gqmn
不仁不智	gwgt
不忍见此物	gvmt
不忍见其死	gvmg
不忍食其肉	gvwm
不忍云间两分张	gvfx
不仁则辱	gwmd
不仁者远矣	gwfc
不仁之人	gwpw
不日不月	gjge
不日成之	gjdp
不日有曀	gjdj
不如不相见	gvgm
不如不行	gvgt
不如乘势	gvtr
不如待时	gvtj
不如高卧且加餐	gvyh
不如归去	gvjf
不如尽此花下欢	gvnc
不辱其身	gdat
不如丘之好学也	gvrb
不如仁人	gvww
不如是之甚也	gvjb
不入我门	gttu
不如我所之	gvtp
